"Withdrawal Settings","Paramètres de rétractation"
"Withdrawal Requested At","Rétractation demandée le"
"Comment","Commentaire"
"View Order","Voir la commande"
"ID","ID"
"e.g. 000000001","ex. 000000001"
"your@email.com","votre@email.com"
"Enable or disable the withdrawal button functionality.","Activer ou désactiver la fonctionnalité du bouton de rétractation."
"Email address to receive withdrawal notifications. If empty, the general store email will be used.","Adresse e-mail pour recevoir les notifications de rétractation. Si vide, l'e-mail général de la boutique sera utilisé."
"Number of days after order placement during which withdrawal is allowed. Default: 14 days.","Nombre de jours après la livraison pendant lesquels la rétractation est autorisée. Par défaut : 14 jours."
"This order has not been shipped yet. You may withdraw at any time until you receive the goods.","Cette commande n'a pas encore été expédiée. Vous pouvez vous rétracter à tout moment jusqu'à la réception des marchandises."
"Email template sent to the customer after withdrawal request.","Modèle d'e-mail envoyé au client après la demande de rétractation."
"Email template sent to the shop owner after withdrawal request.","Modèle d'e-mail envoyé au propriétaire de la boutique après la demande de rétractation."
"Withdrawal Confirmation for Order #%order_increment_id","Confirmation de rétractation pour la commande #%order_increment_id"
"New Withdrawal Request for Order #%order_increment_id","Nouvelle demande de rétractation pour la commande #%order_increment_id"
"Dear %customer_name,","Cher/Chère %customer_name,"
"We have received your withdrawal request for Order #%order_increment_id.","Nous avons reçu votre demande de rétractation pour la commande #%order_increment_id."
"Your withdrawal request has been registered successfully.","Votre demande de rétractation a été enregistrée avec succès."
"Order Number:","Numéro de commande :"
"Order Date:","Date de commande :"
"Withdrawal Requested:","Rétractation demandée :"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","La boutique traitera votre demande de rétractation et vous contactera concernant les prochaines étapes (p.ex. retour, remboursement)."
"If you have any questions, please contact us.","Si vous avez des questions, n'hésitez pas à nous contacter."
"A new withdrawal request has been submitted.","Une nouvelle demande de rétractation a été soumise."
"Customer Name:","Nom du client :"
"Customer Email:","E-mail du client :"
"Please review this withdrawal request and take the necessary steps.","Veuillez examiner cette demande de rétractation et prendre les mesures nécessaires."
"Allowed Order Statuses","Statuts de commande autorisés"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","La rétractation n'est possible que pour les commandes avec l'un de ces statuts. Par défaut : en attente, en traitement, terminée."
"Withdrawal is only possible for orders with one of these statuses.","La rétractation n'est possible que pour les commandes avec l'un de ces statuts."
"All items of this order have already been withdrawn.","Tous les articles de cette commande ont déjà été rétractés."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","Certains articles de cette commande ont déjà été rétractés. Les articles marqués ci-dessous ne sont plus disponibles pour la rétractation."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Sélectionnez les articles que vous souhaitez rétracter. Vous pouvez rétracter des articles individuels (rétractation partielle) ou tous les articles à la fois."
"Select Items to Withdraw","Sélectionner les articles à rétracter"
"Select All","Tout sélectionner"
"Qty Ordered","Quantité commandée"
"Qty to Withdraw","Quantité à rétracter"
"Withdrawn","Rétracté"
"Please select at least one item to withdraw.","Veuillez sélectionner au moins un article à rétracter."
"Invalid item selection.","Sélection d'article invalide."
"One or more of the selected items have already been withdrawn and cannot be withdrawn again.","Un ou plusieurs des articles sélectionnés ont déjà été rétractés et ne peuvent pas l'être à nouveau."
"Partial withdrawal is not enabled. Please withdraw the entire order.","La rétractation partielle n'est pas activée. Veuillez rétracter la commande entière."
"Partial withdrawal requested by customer on %1. Items: %2","Rétractation partielle demandée par le client le %1. Articles : %2"
"partial withdrawal","rétractation partielle"
"Allow Partial Withdrawal","Autoriser la rétractation partielle"
"Allow customers to withdraw individual items instead of the entire order.","Permet aux clients de rétracter des articles individuels au lieu de la commande entière."
"Default: No.","Par défaut : Non."
"Type","Type"
"Full","Complet"
"Partial","Partiel"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","Nous avons reçu votre %withdrawal_type_label pour la commande #%order_increment_id."
"A new %withdrawal_type_label has been submitted.","Une nouvelle %withdrawal_type_label a été soumise."
"Withdrawn Items:","Articles rétractés :"
"View Details","Voir les détails"
"Back to Withdrawal Requests","Retour aux demandes de rétractation"
"Withdrawal Request #%1","Demande de rétractation n° %1"
"Withdrawn Items (Partial Withdrawal)","Articles rétractés (rétractation partielle)"
"Withdrawn Items (Full Withdrawal)","Articles rétractés (rétractation complète)"
"No item details recorded for this withdrawal request.","Aucun détail d'article enregistré pour cette demande de rétractation."
"Qty Withdrawn","Quantité rétractée"
"Confirm this withdrawal request?","Confirmer cette demande de rétractation ?"
"Reject this withdrawal request?","Rejeter cette demande de rétractation ?"
"Withdrawal Submitted Successfully","Rétractation soumise avec succès"
"withdrawal","rétractation"
"Withdrawal request confirmed by the shop on %1.","La demande de rétractation a été confirmée par la boutique le %1."
"Withdrawal request rejected by the shop on %1.","La demande de rétractation a été rejetée par la boutique le %1."
"View Shipment #%1","Voir l'expédition #%1"
"Print Packing Slip #%1","Imprimer le bon de livraison #%1"
