"Withdrawal Settings","Ustawienia odstąpienia"
"Allowed Order Statuses","Dozwolone statusy zamówień"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","Odstąpienie jest możliwe tylko dla zamówień z jednym z tych statusów. Domyślnie: oczekujące, w toku, zakończone."
"Withdrawal is only possible for orders with one of these statuses.","Odstąpienie jest możliwe tylko dla zamówień z jednym z tych statusów."
"All items of this order have already been withdrawn.","Wszystkie pozycje tego zamówienia zostały już wycofane."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","Niektóre pozycje tego zamówienia zostały już wycofane. Zaznaczone poniżej pozycje nie są już dostępne do wycofania."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Wybierz pozycje, które chcesz wycofać. Możesz wycofać poszczególne pozycje (częściowe wycofanie) lub wszystkie pozycje naraz."
"Select Items to Withdraw","Wybierz pozycje do wycofania"
"Select All","Zaznacz wszystko"
"Qty Ordered","Zamówiona ilość"
"Qty to Withdraw","Ilość do wycofania"
"Withdrawn","Wycofano"
"Please select at least one item to withdraw.","Wybierz co najmniej jedną pozycję do wycofania."
"Invalid item selection.","Nieprawidłowy wybór pozycji."
"One or more of the selected items have already been withdrawn and cannot be withdrawn again.","Jedna lub więcej wybranych pozycji została już wycofana i nie można jej wycofać ponownie."
"Partial withdrawal is not enabled. Please withdraw the entire order.","Częściowe wycofanie nie jest włączone. Wycofaj całe zamówienie."
"Partial withdrawal requested by customer on %1. Items: %2","Częściowe wycofanie żądane przez klienta w dniu %1. Pozycje: %2"
"partial withdrawal","częściowe wycofanie"
"Allow Partial Withdrawal","Zezwól na częściowe wycofanie"
"Allow customers to withdraw individual items instead of the entire order.","Umożliwia klientom wycofanie poszczególnych pozycji zamiast całego zamówienia."
"Default: No.","Domyślnie: Nie."
"Type","Typ"
"Full","Pełne"
"Partial","Częściowe"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","Otrzymaliśmy Twoje %withdrawal_type_label dla zamówienia #%order_increment_id."
"A new %withdrawal_type_label has been submitted.","Złożono nowe %withdrawal_type_label."
"Withdrawn Items:","Wycofane pozycje:"
"View Details","Pokaż szczegóły"
"Back to Withdrawal Requests","Powrót do wniosków o wycofanie"
"Withdrawal Request #%1","Wniosek o wycofanie nr %1"
"Withdrawn Items (Partial Withdrawal)","Wycofane pozycje (częściowe wycofanie)"
"Withdrawn Items (Full Withdrawal)","Wycofane pozycje (pełne wycofanie)"
"No item details recorded for this withdrawal request.","Dla tego wniosku o wycofanie nie zapisano szczegółów pozycji."
"Qty Withdrawn","Wycofana ilość"
"Confirm this withdrawal request?","Potwierdzić ten wniosek o wycofanie?"
"Reject this withdrawal request?","Odrzucić ten wniosek o wycofanie?"
"Withdrawal Submitted Successfully","Odstąpienie złożone pomyślnie"
"withdrawal","odstąpienie"
"Withdrawal request confirmed by the shop on %1.","Wniosek o odstąpienie został potwierdzony przez sklep dnia %1."
"Withdrawal request rejected by the shop on %1.","Wniosek o odstąpienie został odrzucony przez sklep dnia %1."
"View Shipment #%1","Zobacz przesyłkę #%1"
"Print Packing Slip #%1","Drukuj list przewozowy #%1"
