"Withdrawal Settings","Peruutusoikeuden asetukset"
"your@email.com","sinun@email.fi"
"Enable or disable the withdrawal button functionality.","Ota peruutuspainikkeen toiminto käyttöön tai poista se käytöstä."
"Email address to receive withdrawal notifications. If empty, the general store email will be used.","Sähköpostiosoite peruutusilmoitusten vastaanottamiseen. Jos tyhjä, käytetään kaupan yleistä sähköpostia."
"Number of days after order placement during which withdrawal is allowed. Default: 14 days.","Päivien määrä viimeisen osatoimitusten lähettämisen jälkeen, jona peruutus on sallittu. Oletus: 14 päivää."
"This order has not been shipped yet. You may withdraw at any time until you receive the goods.","Tätä tilausta ei ole vielä lähetetty. Voit peruuttaa milloin tahansa ennen tavaran vastaanottamista."
"Email template sent to the customer after withdrawal request.","Sähköpostimalli, joka lähetetään asiakkaalle peruutuspyynnön jälkeen."
"Email template sent to the shop owner after withdrawal request.","Sähköpostimalli, joka lähetetään kaupan omistajalle peruutuspyynnön jälkeen."
"Withdrawal Confirmation for Order #%order_increment_id","Peruutusvahvistus tilaukselle #%order_increment_id"
"New Withdrawal Request for Order #%order_increment_id","Uusi peruutuspyyntö tilaukselle #%order_increment_id"
"Dear %customer_name,","Hyvä %customer_name,"
"We have received your withdrawal request for Order #%order_increment_id.","Olemme vastaanottaneet peruutuspyyntösi tilaukselle #%order_increment_id."
"Your withdrawal request has been registered successfully.","Peruutuspyyntösi on rekisteröity onnistuneesti."
"Order Number:","Tilausnumero:"
"Order Date:","Tilauspäivä:"
"Withdrawal Requested:","Peruutus pyydetty:"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","Kauppa käsittelee peruutuspyyntösi ja ottaa sinuun yhteyttä seuraavista vaiheista (esim. palautus, hyvitys)."
"If you have any questions, please contact us.","Jos sinulla on kysyttävää, ota meihin yhteyttä."
"A new withdrawal request has been submitted.","Uusi peruutuspyyntö on lähetetty."
"Customer Name:","Asiakkaan nimi:"
"Customer Email:","Asiakkaan sähköposti:"
"Please review this withdrawal request and take the necessary steps.","Tarkista tämä peruutuspyyntö ja ryhdy tarvittaviin toimenpiteisiin."
"Allowed Order Statuses","Sallitut tilaustilat"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","Peruutus on mahdollinen vain tilauksille, joilla on jokin näistä tiloista. Oletus: odottaa, käsitellään, valmis."
"Withdrawal is only possible for orders with one of these statuses.","Peruutus on mahdollinen vain tilauksille, joilla on jokin näistä tiloista."
"All items of this order have already been withdrawn.","Kaikki tämän tilauksen tuotteet on jo peruutettu."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","Jotkin tämän tilauksen tuotteet on jo peruutettu. Alla merkityt tuotteet eivät ole enää käytettävissä peruutukseen."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Valitse tuotteet, jotka haluat peruuttaa. Voit peruuttaa yksittäisiä tuotteita (osittainen peruutus) tai kaikki tuotteet kerralla."
"Select Items to Withdraw","Valitse peruutettavat tuotteet"
"Select All","Valitse kaikki"
"Qty Ordered","Tilattu määrä"
"Qty to Withdraw","Peruutettava määrä"
"Withdrawn","Peruutettu"
"Please select at least one item to withdraw.","Valitse vähintään yksi tuote peruutettavaksi."
"Invalid item selection.","Virheellinen tuotevalinta."
"One or more of the selected items have already been withdrawn and cannot be withdrawn again.","Yksi tai useampi valittu tuote on jo peruutettu, eikä sitä voi peruuttaa uudelleen."
"Partial withdrawal is not enabled. Please withdraw the entire order.","Osittainen peruutus ei ole käytössä. Peruuta koko tilaus."
"Partial withdrawal requested by customer on %1. Items: %2","Asiakkaan pyytämä osittainen peruutus %1. Tuotteet: %2"
"partial withdrawal","osittainen peruutus"
"Allow Partial Withdrawal","Salli osittainen peruutus"
"Allow customers to withdraw individual items instead of the entire order.","Antaa asiakkaille mahdollisuuden peruuttaa yksittäisiä tuotteita koko tilauksen sijaan."
"Default: No.","Oletus: Ei."
"Type","Tyyppi"
"Full","Täysi"
"Partial","Osittainen"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","Olemme vastaanottaneet %withdrawal_type_label tilauksen #%order_increment_id osalta."
"A new %withdrawal_type_label has been submitted.","Uusi %withdrawal_type_label on lähetetty."
"Withdrawn Items:","Peruutetut tuotteet:"
"View Details","Näytä tiedot"
"Back to Withdrawal Requests","Takaisin peruutuspyyntöihin"
"Withdrawal Request #%1","Peruutuspyyntö nro %1"
"Withdrawn Items (Partial Withdrawal)","Peruutetut tuotteet (osittainen peruutus)"
"Withdrawn Items (Full Withdrawal)","Peruutetut tuotteet (täysi peruutus)"
"No item details recorded for this withdrawal request.","Tälle peruutuspyynnölle ei ole tallennettu tuotetietoja."
"Qty Withdrawn","Peruutettu määrä"
"Confirm this withdrawal request?","Vahvista tämä peruutuspyyntö?"
"Reject this withdrawal request?","Hylkää tämä peruutuspyyntö?"
"Withdrawal Submitted Successfully","Peruutus lähetetty onnistuneesti"
"withdrawal","peruutus"
"Withdrawal request confirmed by the shop on %1.","Kauppa vahvisti peruutuspyynnön %1."
"Withdrawal request rejected by the shop on %1.","Kauppa hylkäsi peruutuspyynnön %1."
"View Shipment #%1","Näytä toimitus #%1"
"Print Packing Slip #%1","Tulosta pakkausluettelo #%1"
