"Withdrawal Settings","Nastavitve odstopa"
"Are you sure you want to submit the withdrawal for this order? This action cannot be undone.","Ste prepričani, da želite oddati odstop za to naročilo? Tega dejanja ni mogoče razveljaviti."
"Cancel","Prekliči"
"Yes, Submit Withdrawal","Da, pošlji odstop"
"The order could not be found.","Naročila ni bilo mogoče najti."
"Invalid form key. Please try again.","Neveljaven ključ obrazca. Poskusite znova."
"The withdrawal function is currently not available.","Funkcija odstopa trenutno ni na voljo."
"No order specified.","Naročilo ni določeno."
"Please log in to submit a withdrawal.","Prijavite se za oddajo odstopa."
"You are not authorized to withdraw this order.","Niste pooblaščeni za odstop od tega naročila."
"You are not authorized to view this order.","Niste pooblaščeni za ogled tega naročila."
"The provided email does not match the order.","Navedeni e-poštni naslov se ne ujema z naročilom."
"A withdrawal request already exists for this order.","Za to naročilo že obstaja zahteva za odstop."
"The withdrawal period for this order has expired.","Rok za odstop od tega naročila je potekel."
"Your withdrawal request was submitted.","Vaša zahteva za odstop je bila oddana."
"Unable to submit withdrawal request. Please try again.","Zahteve za odstop ni mogoče oddati. Poskusite znova."
"Withdrawal requested by customer on %1.","Odstop, ki ga je zahteval kupec dne %1."
"Please enter both order number and email address.","Vnesite številko naročila in e-poštni naslov."
"No order found with the given order number and email address.","Naročila z navedeno številko in e-poštnim naslovom ni bilo najti."
"Invalid request.","Neveljavna zahteva."
"Order #","Naročilo #"
"Customer Name","Ime kupca"
"Customer Email","E-pošta kupca"
"Status","Status"
"Pending","V čakanju"
"Confirmed","Potrjeno"
"Rejected","Zavrnjeno"
"Order Placed At","Naročilo oddano"
"Withdrawal Requested At","Odstop zahtevan"
"Comment","Komentar"
"View Order","Ogled naročila"
"ID","ID"
"e.g. 000000001","npr. 000000001"
"your@email.com","vas@email.si"
"Enable or disable the withdrawal button functionality.","Aktivirajte ali deaktivirajte funkcionalnost gumba za odstop."
"Email address to receive withdrawal notifications. If empty, the general store email will be used.","E-poštni naslov za prejemanje obvestil o odstopu. Če je prazen, bo uporabljen splošni e-poštni naslov trgovine."
"Number of days after order placement during which withdrawal is allowed. Default: 14 days.","Število dni po odpremi zadnje delne pošiljke, v katerih je odstop dovoljen. Privzeto: 14 dni."
"This order has not been shipped yet. You may withdraw at any time until you receive the goods.","To naročilo še ni bilo odposlano. Odstopite lahko kadarkoli, dokler ne prejmete blaga."
"Email template sent to the customer after withdrawal request.","Predloga e-poštnega sporočila, ki se pošlje kupcu po zahtevi za odstop."
"Email template sent to the shop owner after withdrawal request.","Predloga e-poštnega sporočila, ki se pošlje lastniku trgovine po zahtevi za odstop."
"Withdrawal Confirmation for Order #%order_increment_id","Potrditev odstopa za naročilo #%order_increment_id"
"New Withdrawal Request for Order #%order_increment_id","Nova zahteva za odstop za naročilo #%order_increment_id"
"Dear %customer_name,","Spoštovani/a %customer_name,"
"We have received your withdrawal request for Order #%order_increment_id.","Prejeli smo vašo zahtevo za odstop od naročila #%order_increment_id."
"Your withdrawal request has been registered successfully.","Vaša zahteva za odstop je bila uspešno registrirana."
"Order Number:","Številka naročila:"
"Order Date:","Datum naročila:"
"Withdrawal Requested:","Odstop zahtevan:"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","Trgovina bo obdelala vašo zahtevo za odstop in vas kontaktirala glede naslednjih korakov (npr. vračilo, povračilo)."
"If you have any questions, please contact us.","Če imate vprašanja, nas prosimo kontaktirajte."
"A new withdrawal request has been submitted.","Oddana je bila nova zahteva za odstop."
"Customer Name:","Ime kupca:"
"Customer Email:","E-pošta kupca:"
"Please review this withdrawal request and take the necessary steps.","Prosimo preglejte to zahtevo za odstop in sprejmite potrebne ukrepe."
"Allowed Order Statuses","Dovoljeni statusi naročila"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","Odstop je mogoč samo za naročila z enim od teh statusov. Privzeto: v čakanju, v obdelavi, zaključeno."
"Withdrawal is only possible for orders with one of these statuses.","Odstop je mogoč samo za naročila z enim od teh statusov."
"All items of this order have already been withdrawn.","Vse postavke tega naročila so bile že umaknjene."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","Nekatere postavke tega naročila so bile že umaknjene. Spodaj označene postavke niso več na voljo za umik."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Izberite postavke, ki jih želite umakniti. Umikate lahko posamezne postavke (delni umik) ali vse postavke hkrati."
"Select Items to Withdraw","Izberite postavke za umik"
"Select All","Izberi vse"
"Qty Ordered","Naročena količina"
"Qty to Withdraw","Količina za umik"
"Withdrawn","Umaknjeno"
"Please select at least one item to withdraw.","Izberite vsaj eno postavko za umik."
"Invalid item selection.","Neveljavna izbira postavke."
"One or more of the selected items have already been withdrawn and cannot be withdrawn again.","Ena ali več izbranih postavk je že bila umaknjena in je ni mogoče znova umakniti."
"Partial withdrawal is not enabled. Please withdraw the entire order.","Delni umik ni omogočen. Umaknite celotno naročilo."
"Partial withdrawal requested by customer on %1. Items: %2","Delni umik, ki ga je zahtevala stranka dne %1. Postavke: %2"
"partial withdrawal","delni umik"
"Allow Partial Withdrawal","Dovoli delni umik"
"Allow customers to withdraw individual items instead of the entire order.","Strankam omogoča umik posameznih postavk namesto celotnega naročila."
"Default: No.","Privzeto: Ne."
"Type","Vrsta"
"Full","Polni"
"Partial","Delni"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","Prejeli smo vaš %withdrawal_type_label za naročilo #%order_increment_id."
"A new %withdrawal_type_label has been submitted.","Predložen je bil nov %withdrawal_type_label."
"Withdrawn Items:","Umaknjene postavke:"
"View Details","Prikaži podrobnosti"
"Back to Withdrawal Requests","Nazaj na zahteve za umik"
"Withdrawal Request #%1","Zahteva za umik št. %1"
"Withdrawn Items (Partial Withdrawal)","Umaknjene postavke (delni umik)"
"Withdrawn Items (Full Withdrawal)","Umaknjene postavke (polni umik)"
"No item details recorded for this withdrawal request.","Za to zahtevo za umik ni zabeleženih podrobnosti o postavkah."
"Qty Withdrawn","Umaknjena količina"
"Confirm this withdrawal request?","Potrdite to zahtevo za umik?"
"Reject this withdrawal request?","Zavrnite to zahtevo za umik?"
"Withdrawal Submitted Successfully","Odstop uspešno poslan"
"withdrawal","umik"
"Withdrawal request confirmed by the shop on %1.","Trgovina je potrdila zahtevo za odstop dne %1."
"Withdrawal request rejected by the shop on %1.","Trgovina je zavrnila zahtevo za odstop dne %1."
"View Shipment #%1","Prikaži pošiljko #%1"
"Print Packing Slip #%1","Natisni dobavnico #%1"
