"Withdrawal Settings","Fortrydelsesindstillinger"
"No order found with the given order number and email address.","Ingen ordre fundet med det angivne ordrenummer og e-mailadresse."
"Invalid request.","Ugyldig anmodning."
"Order #","Ordre #"
"Customer Name","Kundenavn"
"Customer Email","Kunde-e-mail"
"Status","Status"
"Pending","Afventer"
"Confirmed","Bekræftet"
"Rejected","Afvist"
"Order Placed At","Ordre afgivet"
"Withdrawal Requested At","Fortrydelse anmodet"
"Comment","Kommentar"
"View Order","Se ordre"
"ID","ID"
"e.g. 000000001","f.eks. 000000001"
"your@email.com","din@email.com"
"Enable or disable the withdrawal button functionality.","Aktivér eller deaktivér fortrydelsesknappens funktion."
"Email address to receive withdrawal notifications. If empty, the general store email will be used.","E-mailadresse til modtagelse af fortrydelsesnotifikationer. Hvis tom, bruges butikkens generelle e-mail."
"Number of days after order placement during which withdrawal is allowed. Default: 14 days.","Antal dage efter afsendelse af den sidste delleverance, i hvilke fortrydelse er tilladt. Standard: 14 dage."
"This order has not been shipped yet. You may withdraw at any time until you receive the goods.","Denne ordre er endnu ikke afsendt. Du kan fortryde til enhver tid, indtil du modtager varerne."
"Email template sent to the customer after withdrawal request.","E-mailskabelon sendt til kunden efter fortrydelsesanmodning."
"Email template sent to the shop owner after withdrawal request.","E-mailskabelon sendt til butiksejeren efter fortrydelsesanmodning."
"Withdrawal Confirmation for Order #%order_increment_id","Fortrydelsesbekræftelse for ordre #%order_increment_id"
"New Withdrawal Request for Order #%order_increment_id","Ny fortrydelsesanmodning for ordre #%order_increment_id"
"Dear %customer_name,","Kære %customer_name,"
"We have received your withdrawal request for Order #%order_increment_id.","Vi har modtaget din fortrydelsesanmodning for ordre #%order_increment_id."
"Your withdrawal request has been registered successfully.","Din fortrydelsesanmodning er registreret."
"Order Number:","Ordrenummer:"
"Order Date:","Ordredato:"
"Withdrawal Requested:","Fortrydelse anmodet:"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","Butikken vil behandle din fortrydelsesanmodning og kontakte dig vedrørende de næste trin (f.eks. retur, refusion)."
"If you have any questions, please contact us.","Hvis du har spørgsmål, er du velkommen til at kontakte os."
"A new withdrawal request has been submitted.","En ny fortrydelsesanmodning er indsendt."
"Customer Name:","Kundenavn:"
"Customer Email:","Kunde-e-mail:"
"Please review this withdrawal request and take the necessary steps.","Gennemgå denne fortrydelsesanmodning og tag de nødvendige skridt."
"Allowed Order Statuses","Tilladte ordrestatusser"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","Fortrydelse er kun mulig for ordrer med en af disse statusser. Standard: afventer, behandles, afsluttet."
"Withdrawal is only possible for orders with one of these statuses.","Fortrydelse er kun mulig for ordrer med en af disse statusser."
"All items of this order have already been withdrawn.","Alle varer i denne ordre er allerede trukket tilbage."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","Nogle varer i denne ordre er allerede trukket tilbage. De nedenstående markerede varer er ikke længere tilgængelige for tilbagetrækning."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Vælg de varer, du ønsker at trække tilbage. Du kan trække individuelle varer (delvis tilbagetrækning) eller alle varer på én gang tilbage."
"Select Items to Withdraw","Vælg varer til tilbagetrækning"
"Select All","Vælg alle"
"Qty Ordered","Bestilt antal"
"Qty to Withdraw","Antal til tilbagetrækning"
"Withdrawn","Trukket tilbage"
"Please select at least one item to withdraw.","Vælg mindst én vare til tilbagetrækning."
"Invalid item selection.","Ugyldigt varevalg."
"One or more selected items have already been withdrawn.","En eller flere valgte varer er allerede trukket tilbage."
"Partial withdrawal is not enabled. Please withdraw the entire order.","Delvis tilbagetrækning er ikke aktiveret. Træk venligst hele ordren tilbage."
"Partial withdrawal requested by customer on %1. Items: %2","Delvis tilbagetrækning anmodet af kunde den %1. Varer: %2"
"partial withdrawal","delvis tilbagetrækning"
"Allow Partial Withdrawal","Tillad delvis tilbagetrækning"
"Allow customers to withdraw individual items instead of the entire order.","Giver kunder mulighed for at trække individuelle varer tilbage i stedet for hele ordren."
"Default: No.","Standard: Nej."
"Type","Type"
"Full","Fuld"
"Partial","Delvis"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","Vi har modtaget din %withdrawal_type_label for ordre #%order_increment_id."
"A new %withdrawal_type_label has been submitted.","En ny %withdrawal_type_label er blevet indsendt."
"Withdrawn Items:","Tilbagetrukne varer:"
"View Details","Se detaljer"
"Back to Withdrawal Requests","Tilbage til tilbagetræk-anmodninger"
"Withdrawal Request #%1","Tilbagetræk-anmodning #%1"
"Withdrawn Items (Partial Withdrawal)","Tilbagetrukne varer (delvis tilbagetrækning)"
"Withdrawn Items (Full Withdrawal)","Tilbagetrukne varer (fuld tilbagetrækning)"
"No item details recorded for this withdrawal request.","Der er ingen varedetaljer registreret for denne tilbagetræk-anmodning."
"Qty Withdrawn","Tilbagetrukket antal"
"Confirm this withdrawal request?","Bekræft denne tilbagetræk-anmodning?"
"Reject this withdrawal request?","Afvis denne tilbagetræk-anmodning?"
"Withdrawal Submitted Successfully","Fortrydelse indsendt"
