"Withdrawal Settings","Herroepingsinstellingen"
"This order has not been shipped yet. You may withdraw at any time until you receive the goods.","Deze bestelling is nog niet verzonden. U kunt te allen tijde herroepen totdat u de goederen ontvangt."
"Email template sent to the customer after withdrawal request.","E-mailsjabloon dat na het herroepingsverzoek naar de klant wordt verzonden."
"Email template sent to the shop owner after withdrawal request.","E-mailsjabloon dat na het herroepingsverzoek naar de winkeleigenaar wordt verzonden."
"Withdrawal Confirmation for Order #%order_increment_id","Herroepingsbevestiging voor bestelling #%order_increment_id"
"New Withdrawal Request for Order #%order_increment_id","Nieuw herroepingsverzoek voor bestelling #%order_increment_id"
"Dear %customer_name,","Geachte %customer_name,"
"We have received your withdrawal request for Order #%order_increment_id.","Wij hebben uw herroepingsverzoek voor bestelling #%order_increment_id ontvangen."
"Your withdrawal request has been registered successfully.","Uw herroepingsverzoek is succesvol geregistreerd."
"Order Number:","Bestelnummer:"
"Order Date:","Besteldatum:"
"Withdrawal Requested:","Herroeping aangevraagd:"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","De winkel verwerkt uw herroepingsverzoek en neemt contact met u op over de volgende stappen (bijv. retournering, terugbetaling)."
"If you have any questions, please contact us.","Als u vragen heeft, neem dan contact met ons op."
"A new withdrawal request has been submitted.","Er is een nieuw herroepingsverzoek ingediend."
"Customer Name:","Klantnaam:"
"Customer Email:","Klant-e-mail:"
"Please review this withdrawal request and take the necessary steps.","Bekijk dit herroepingsverzoek en neem de nodige stappen."
"Allowed Order Statuses","Toegestane bestelstatussen"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","Herroeping is alleen mogelijk voor bestellingen met een van deze statussen. Standaard: in afwachting, in verwerking, voltooid."
"Withdrawal is only possible for orders with one of these statuses.","Herroeping is alleen mogelijk voor bestellingen met een van deze statussen."
"All items of this order have already been withdrawn.","Alle artikelen van deze bestelling zijn al ingetrokken."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","Sommige artikelen van deze bestelling zijn al ingetrokken. De hieronder gemarkeerde artikelen zijn niet meer beschikbaar voor intrekking."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Selecteer de artikelen die u wilt intrekken. U kunt afzonderlijke artikelen (gedeeltelijke intrekking) of alle artikelen tegelijk intrekken."
"Select Items to Withdraw","Artikelen selecteren voor intrekking"
"Select All","Alles selecteren"
"Qty Ordered","Besteld aantal"
"Qty to Withdraw","In te trekken aantal"
"Withdrawn","Ingetrokken"
"Please select at least one item to withdraw.","Selecteer ten minste één artikel voor intrekking."
"Invalid item selection.","Ongeldige artikelkeuze."
"One or more of the selected items have already been withdrawn and cannot be withdrawn again.","Een of meer van de geselecteerde artikelen zijn al ingetrokken en kunnen niet opnieuw worden ingetrokken."
"Partial withdrawal is not enabled. Please withdraw the entire order.","Gedeeltelijke intrekking is niet ingeschakeld. Trek de gehele bestelling in."
"Partial withdrawal requested by customer on %1. Items: %2","Gedeeltelijke intrekking verzocht door klant op %1. Artikelen: %2"
"partial withdrawal","gedeeltelijke intrekking"
"Allow Partial Withdrawal","Gedeeltelijke intrekking toestaan"
"Allow customers to withdraw individual items instead of the entire order.","Hiermee kunnen klanten afzonderlijke artikelen intrekken in plaats van de gehele bestelling."
"Default: No.","Standaard: Nee."
"Type","Type"
"Full","Volledig"
"Partial","Gedeeltelijk"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","We hebben uw %withdrawal_type_label ontvangen voor bestelling #%order_increment_id."
"A new %withdrawal_type_label has been submitted.","Er is een nieuwe %withdrawal_type_label ingediend."
"Withdrawn Items:","Ingetrokken artikelen:"
"View Details","Details bekijken"
"Back to Withdrawal Requests","Terug naar intrekkingsverzoeken"
"Withdrawal Request #%1","Intrekkingsverzoek nr. %1"
"Withdrawn Items (Partial Withdrawal)","Ingetrokken artikelen (gedeeltelijke intrekking)"
"Withdrawn Items (Full Withdrawal)","Ingetrokken artikelen (volledige intrekking)"
"No item details recorded for this withdrawal request.","Er zijn geen artikelgegevens geregistreerd voor dit intrekkingsverzoek."
"Qty Withdrawn","Ingetrokken aantal"
"Confirm this withdrawal request?","Dit intrekkingsverzoek bevestigen?"
"Reject this withdrawal request?","Dit intrekkingsverzoek afwijzen?"
"Withdrawal Submitted Successfully","Herroeping succesvol ingediend"
"withdrawal","intrekking"
"Withdrawal request confirmed by the shop on %1.","Het herroepingsverzoek is door de winkel bevestigd op %1."
"Withdrawal request rejected by the shop on %1.","Het herroepingsverzoek is door de winkel afgewezen op %1."
"View Shipment #%1","Verzending #%1 bekijken"
"Print Packing Slip #%1","Pakbon #%1 afdrukken"
