"Withdrawal Settings","Postavke odustanka"
"The withdrawal function is currently not available.","Funkcija odustanka trenutno nije dostupna."
"No order specified.","Nije navedena narudžba."
"Please log in to submit a withdrawal.","Prijavite se za podnošenje odustanka."
"You are not authorized to withdraw this order.","Niste ovlašteni odustati od ove narudžbe."
"You are not authorized to view this order.","Niste ovlašteni pregledati ovu narudžbu."
"The provided email does not match the order.","Navedena e-adresa ne odgovara narudžbi."
"A withdrawal request already exists for this order.","Zahtjev za odustanak već postoji za ovu narudžbu."
"The withdrawal period for this order has expired.","Rok za odustanak od ove narudžbe je istekao."
"Your withdrawal request was submitted.","Vaš zahtjev za odustanak je podnesen."
"Unable to submit withdrawal request. Please try again.","Nije moguće podnijeti zahtjev za odustanak. Pokušajte ponovo."
"Withdrawal requested by customer on %1.","Odustanak zatražen od strane kupca dana %1."
"Please enter both order number and email address.","Unesite broj narudžbe i e-adresu."
"No order found with the given order number and email address.","Nije pronađena narudžba s navedenim brojem i e-adresom."
"Invalid request.","Nevažeći zahtjev."
"Order #","Narudžba #"
"Customer Name","Ime kupca"
"Customer Email","E-pošta kupca"
"Status","Status"
"Pending","Na čekanju"
"Confirmed","Potvrđeno"
"Rejected","Odbijeno"
"Order Placed At","Narudžba plasirana"
"Withdrawal Requested At","Odustanak zatražen"
"Comment","Komentar"
"View Order","Pregled narudžbe"
"ID","ID"
"e.g. 000000001","npr. 000000001"
"your@email.com","vasa@email.hr"
"Enable or disable the withdrawal button functionality.","Aktivirajte ili deaktivirajte funkcionalnost gumba za odustanak."
"Email address to receive withdrawal notifications. If empty, the general store email will be used.","E-adresa za primanje obavijesti o odustanku. Ako je prazna, koristit će se opća e-adresa trgovine."
"Number of days after order placement during which withdrawal is allowed. Default: 14 days.","Broj dana od slanja posljednje djelomične pošiljke u kojima je odustanak dopušten. Zadano: 14 dana."
"This order has not been shipped yet. You may withdraw at any time until you receive the goods.","Ova narudžba još nije isporučena. Možete odustati u bilo koje vrijeme dok ne primite robu."
"Email template sent to the customer after withdrawal request.","Predložak e-pošte poslan kupcu nakon zahtjeva za odustanak."
"Email template sent to the shop owner after withdrawal request.","Predložak e-pošte poslan vlasniku trgovine nakon zahtjeva za odustanak."
"Withdrawal Confirmation for Order #%order_increment_id","Potvrda odustanka za narudžbu #%order_increment_id"
"New Withdrawal Request for Order #%order_increment_id","Novi zahtjev za odustanak za narudžbu #%order_increment_id"
"Dear %customer_name,","Poštovani/a %customer_name,"
"We have received your withdrawal request for Order #%order_increment_id.","Primili smo vaš zahtjev za odustanak od narudžbe #%order_increment_id."
"Your withdrawal request has been registered successfully.","Vaš zahtjev za odustanak je uspješno registriran."
"Order Number:","Broj narudžbe:"
"Order Date:","Datum narudžbe:"
"Withdrawal Requested:","Odustanak zatražen:"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","Trgovina će obraditi vaš zahtjev za odustanak i kontaktirati vas glede sljedećih koraka (npr. povrat, refundacija)."
"If you have any questions, please contact us.","Ako imate pitanja, molimo kontaktirajte nas."
"A new withdrawal request has been submitted.","Podnesen je novi zahtjev za odustanak."
"Customer Name:","Ime kupca:"
"Customer Email:","E-pošta kupca:"
"Please review this withdrawal request and take the necessary steps.","Molimo pregledajte ovaj zahtjev za odustanak i poduzmite potrebne korake."
"Allowed Order Statuses","Dozvoljeni statusi narudžbe"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","Odustanak je moguć samo za narudžbe s jednim od ovih statusa. Zadano: na čekanju, u obradi, završeno."
"Withdrawal is only possible for orders with one of these statuses.","Odustanak je moguć samo za narudžbe s jednim od ovih statusa."
"All items of this order have already been withdrawn.","Sve stavke ove narudžbe su već povučene."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","Neke stavke ove narudžbe su već povučene. Stavke označene ispod više nisu dostupne za povlačenje."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Odaberite stavke koje želite povući. Možete povući pojedinačne stavke (djelomično povlačenje) ili sve stavke odjednom."
"Select Items to Withdraw","Odaberite stavke za povlačenje"
"Select All","Odaberi sve"
"Qty Ordered","Naručena količina"
"Qty to Withdraw","Količina za povlačenje"
"Withdrawn","Povučeno"
"Please select at least one item to withdraw.","Odaberite najmanje jednu stavku za povlačenje."
"Invalid item selection.","Nevažeći odabir stavke."
"One or more of the selected items have already been withdrawn and cannot be withdrawn again.","Jedna ili više odabranih stavki već su povučene i ne mogu se ponovno povući."
"Partial withdrawal is not enabled. Please withdraw the entire order.","Djelomično povlačenje nije omogućeno. Povucite cijelu narudžbu."
"Partial withdrawal requested by customer on %1. Items: %2","Djelomično povlačenje zatraženo od strane kupca dana %1. Stavke: %2"
"partial withdrawal","djelomično povlačenje"
"Allow Partial Withdrawal","Dopusti djelomično povlačenje"
"Allow customers to withdraw individual items instead of the entire order.","Omogućuje kupcima povlačenje pojedinačnih stavki umjesto cijele narudžbe."
"Default: No.","Zadano: Ne."
"Type","Vrsta"
"Full","Potpuno"
"Partial","Djelomično"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","Primili smo vaše %withdrawal_type_label za narudžbu #%order_increment_id."
"A new %withdrawal_type_label has been submitted.","Predano je novo %withdrawal_type_label."
"Withdrawn Items:","Povučene stavke:"
"View Details","Pogledaj detalje"
"Back to Withdrawal Requests","Natrag na zahtjeve za povlačenje"
"Withdrawal Request #%1","Zahtjev za povlačenje br. %1"
"Withdrawn Items (Partial Withdrawal)","Povučene stavke (djelomično povlačenje)"
"Withdrawn Items (Full Withdrawal)","Povučene stavke (potpuno povlačenje)"
"No item details recorded for this withdrawal request.","Za ovaj zahtjev za povlačenje nisu zabilježeni detalji stavki."
"Qty Withdrawn","Povučena količina"
"Confirm this withdrawal request?","Potvrditi ovaj zahtjev za povlačenje?"
"Reject this withdrawal request?","Odbiti ovaj zahtjev za povlačenje?"
"Withdrawal Submitted Successfully","Odustanak uspješno podnesen"
"withdrawal","povlačenje"
"Withdrawal request confirmed by the shop on %1.","Zahtjev za odustanak potvrđen je od strane trgovine dana %1."
"Withdrawal request rejected by the shop on %1.","Zahtjev za odustanak odbijen je od strane trgovine dana %1."
"View Shipment #%1","Prikaži pošiljku #%1"
"Print Packing Slip #%1","Ispiši otpremnicu #%1"
