"Withdrawal Settings","Nastavenia odstúpenia od zmluvy"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","Obchod spracuje vašu žiadosť o odstúpenie a kontaktuje vás ohľadom ďalších krokov (napr. vrátenie tovaru, refundácia)."
"If you have any questions, please contact us.","V prípade otázok nás prosím kontaktujte."
"A new withdrawal request has been submitted.","Bola podaná nová žiadosť o odstúpenie."
"Customer Name:","Meno zákazníka:"
"Customer Email:","E-mail zákazníka:"
"Please review this withdrawal request and take the necessary steps.","Skontrolujte túto žiadosť o odstúpenie a vykonajte potrebné kroky."
"Allowed Order Statuses","Povolené stavy objednávky"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","Odstúpenie je možné len pre objednávky s jedným z týchto stavov. Predvolené: čaká, spracováva sa, dokončené."
"Withdrawal is only possible for orders with one of these statuses.","Odstúpenie je možné len pre objednávky s jedným z týchto stavov."
"All items of this order have already been withdrawn.","Všetky položky tejto objednávky už boli odvolané."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","Niektoré položky tejto objednávky už boli odvolané. Nižšie označené položky už nie sú k dispozícii na odvolanie."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Vyberte položky, ktoré chcete odvolať. Môžete odvolať jednotlivé položky (čiastočné odvolanie) alebo všetky položky naraz."
"Select Items to Withdraw","Vyberte položky na odvolanie"
"Select All","Vybrať všetko"
"Qty Ordered","Objednané množstvo"
"Qty to Withdraw","Množstvo na odvolanie"
"Withdrawn","Odvolané"
"Please select at least one item to withdraw.","Vyberte aspoň jednu položku na odvolanie."
"Invalid item selection.","Neplatný výber položky."
"One or more of the selected items have already been withdrawn and cannot be withdrawn again.","Jedna alebo viac vybraných položiek už bola odvolaná a nemožno ju odvolať znova."
"Partial withdrawal is not enabled. Please withdraw the entire order.","Čiastočné odvolanie nie je povolené. Odvolajte celú objednávku."
"Partial withdrawal requested by customer on %1. Items: %2","Čiastočné odvolanie požadované zákazníkom dňa %1. Položky: %2"
"partial withdrawal","čiastočné odvolanie"
"Allow Partial Withdrawal","Povoliť čiastočné odvolanie"
"Allow customers to withdraw individual items instead of the entire order.","Umožňuje zákazníkom odvolať jednotlivé položky namiesto celej objednávky."
"Default: No.","Predvolené: Nie."
"Type","Typ"
"Full","Úplné"
"Partial","Čiastočné"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","Dostali sme vaše %withdrawal_type_label pre objednávku #%order_increment_id."
"A new %withdrawal_type_label has been submitted.","Bolo podané nové %withdrawal_type_label."
"Withdrawn Items:","Odvolané položky:"
"View Details","Zobraziť detaily"
"Back to Withdrawal Requests","Späť na žiadosti o odvolanie"
"Withdrawal Request #%1","Žiadosť o odvolanie č. %1"
"Withdrawn Items (Partial Withdrawal)","Odvolané položky (čiastočné odvolanie)"
"Withdrawn Items (Full Withdrawal)","Odvolané položky (úplné odvolanie)"
"No item details recorded for this withdrawal request.","Pre túto žiadosť o odvolanie nie sú zaznamenané žiadne detaily položiek."
"Qty Withdrawn","Odvolané množstvo"
"Confirm this withdrawal request?","Potvrdiť túto žiadosť o odvolanie?"
"Reject this withdrawal request?","Zamietnuť túto žiadosť o odvolanie?"
"Withdrawal Submitted Successfully","Odstúpenie úspešne podané"
"withdrawal","odvolanie"
"Withdrawal request confirmed by the shop on %1.","Žiadosť o odstúpenie bola obchodom potvrdená dňa %1."
"Withdrawal request rejected by the shop on %1.","Žiadosť o odstúpenie bola obchodom zamietnutá dňa %1."
"View Shipment #%1","Zobraziť zásielku #%1"
"Print Packing Slip #%1","Tlač dodacieho listu #%1"
