"Withdrawal Settings","Impostazioni di recesso"
"Please log in to submit a withdrawal.","Acceda per inviare un recesso."
"You are not authorized to withdraw this order.","Non è autorizzato a recedere da questo ordine."
"You are not authorized to view this order.","Non è autorizzato a visualizzare questo ordine."
"The provided email does not match the order.","L'e-mail fornita non corrisponde all'ordine."
"A withdrawal request already exists for this order.","Esiste già una richiesta di recesso per questo ordine."
"The withdrawal period for this order has expired.","Il periodo di recesso per questo ordine è scaduto."
"Your withdrawal request was submitted.","La sua richiesta di recesso è stata inviata."
"Unable to submit withdrawal request. Please try again.","Impossibile inviare la richiesta di recesso. Si prega di riprovare."
"Withdrawal requested by customer on %1.","Recesso richiesto dal cliente il %1."
"Please enter both order number and email address.","Inserisca sia il numero dell'ordine che l'indirizzo e-mail."
"No order found with the given order number and email address.","Nessun ordine trovato con il numero d'ordine e l'indirizzo e-mail forniti."
"Invalid request.","Richiesta non valida."
"Order #","Ordine n."
"Customer Name","Nome cliente"
"Customer Email","E-mail cliente"
"Status","Stato"
"Pending","In attesa"
"Confirmed","Confermato"
"Rejected","Rifiutato"
"Order Placed At","Ordine effettuato il"
"Withdrawal Requested At","Recesso richiesto il"
"Comment","Commento"
"View Order","Visualizza ordine"
"ID","ID"
"e.g. 000000001","es. 000000001"
"your@email.com","tua@email.com"
"Enable or disable the withdrawal button functionality.","Abilita o disabilita la funzionalità del pulsante di recesso."
"Email address to receive withdrawal notifications. If empty, the general store email will be used.","Indirizzo e-mail per ricevere le notifiche di recesso. Se vuoto, verrà utilizzata l'e-mail generale del negozio."
"Number of days after order placement during which withdrawal is allowed. Default: 14 days.","Numero di giorni dall'ultima spedizione parziale durante i quali il recesso è consentito. Predefinito: 14 giorni."
"This order has not been shipped yet. You may withdraw at any time until you receive the goods.","Questo ordine non è ancora stato spedito. Può recedere in qualsiasi momento fino alla ricezione della merce."
"Email template sent to the customer after withdrawal request.","Modello e-mail inviato al cliente dopo la richiesta di recesso."
"Email template sent to the shop owner after withdrawal request.","Modello e-mail inviato al proprietario del negozio dopo la richiesta di recesso."
"Withdrawal Confirmation for Order #%order_increment_id","Conferma di recesso per l'ordine #%order_increment_id"
"New Withdrawal Request for Order #%order_increment_id","Nuova richiesta di recesso per l'ordine #%order_increment_id"
"Dear %customer_name,","Gentile %customer_name,"
"We have received your withdrawal request for Order #%order_increment_id.","Abbiamo ricevuto la sua richiesta di recesso per l'ordine #%order_increment_id."
"Your withdrawal request has been registered successfully.","La sua richiesta di recesso è stata registrata con successo."
"Order Number:","Numero ordine:"
"Order Date:","Data ordine:"
"Withdrawal Requested:","Recesso richiesto:"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","Il negozio elaborerà la sua richiesta di recesso e la contatterà riguardo ai prossimi passi (es. restituzione, rimborso)."
"If you have any questions, please contact us.","Per qualsiasi domanda, non esiti a contattarci."
"A new withdrawal request has been submitted.","È stata inviata una nuova richiesta di recesso."
"Customer Name:","Nome cliente:"
"Customer Email:","E-mail cliente:"
"Please review this withdrawal request and take the necessary steps.","Esamini questa richiesta di recesso e prenda le misure necessarie."
"Allowed Order Statuses","Stati ordine consentiti"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","Il recesso è possibile solo per ordini con uno di questi stati. Predefinito: in attesa, in elaborazione, completato."
"Withdrawal is only possible for orders with one of these statuses.","Il recesso è possibile solo per ordini con uno di questi stati."
"All items of this order have already been withdrawn.","Tutti gli articoli di questo ordine sono già stati revocati."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","Alcuni articoli di questo ordine sono già stati revocati. Gli articoli contrassegnati di seguito non sono più disponibili per la revoca."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Seleziona gli articoli che desideri revocare. Puoi revocare singoli articoli (revoca parziale) o tutti gli articoli contemporaneamente."
"Select Items to Withdraw","Seleziona articoli da revocare"
"Select All","Seleziona tutto"
"Qty Ordered","Quantità ordinata"
"Qty to Withdraw","Quantità da revocare"
"Withdrawn","Revocato"
"Please select at least one item to withdraw.","Seleziona almeno un articolo da revocare."
"Invalid item selection.","Selezione articolo non valida."
"One or more of the selected items have already been withdrawn and cannot be withdrawn again.","Uno o più degli articoli selezionati sono già stati revocati e non possono essere revocati di nuovo."
"Partial withdrawal is not enabled. Please withdraw the entire order.","La revoca parziale non è abilitata. Revoca l'intero ordine."
"Partial withdrawal requested by customer on %1. Items: %2","Revoca parziale richiesta dal cliente il %1. Articoli: %2"
"partial withdrawal","revoca parziale"
"Allow Partial Withdrawal","Consenti revoca parziale"
"Allow customers to withdraw individual items instead of the entire order.","Permette ai clienti di revocare singoli articoli invece dell'intero ordine."
"Default: No.","Predefinito: No."
"Type","Tipo"
"Full","Completo"
"Partial","Parziale"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","Abbiamo ricevuto la tua %withdrawal_type_label per l'ordine #%order_increment_id."
"A new %withdrawal_type_label has been submitted.","È stata presentata una nuova %withdrawal_type_label."
"Withdrawn Items:","Articoli revocati:"
"View Details","Visualizza dettagli"
"Back to Withdrawal Requests","Torna alle richieste di revoca"
"Withdrawal Request #%1","Richiesta di revoca n. %1"
"Withdrawn Items (Partial Withdrawal)","Articoli revocati (revoca parziale)"
"Withdrawn Items (Full Withdrawal)","Articoli revocati (revoca completa)"
"No item details recorded for this withdrawal request.","Nessun dettaglio articolo registrato per questa richiesta di revoca."
"Qty Withdrawn","Quantità revocata"
"Confirm this withdrawal request?","Confermare questa richiesta di revoca?"
"Reject this withdrawal request?","Rifiutare questa richiesta di revoca?"
"Withdrawal Submitted Successfully","Recesso inviato con successo"
"withdrawal","revoca"
"Withdrawal request confirmed by the shop on %1.","La richiesta di recesso è stata confermata dal negozio il %1."
"Withdrawal request rejected by the shop on %1.","La richiesta di recesso è stata rifiutata dal negozio il %1."
"View Shipment #%1","Visualizza spedizione #%1"
"Print Packing Slip #%1","Stampa bolla di consegna #%1"
