"Withdrawal Settings","Setări retragere"
"Number of days after order placement during which withdrawal is allowed. Default: 14 days.","Numărul de zile de la expedierea ultimei livrări parțiale în care retragerea este permisă. Implicit: 14 zile."
"This order has not been shipped yet. You may withdraw at any time until you receive the goods.","Această comandă nu a fost expediată încă. Puteți retrage oricând până la primirea produselor."
"Email template sent to the customer after withdrawal request.","Șablon e-mail trimis clientului după cererea de retragere."
"Email template sent to the shop owner after withdrawal request.","Șablon e-mail trimis proprietarului magazinului după cererea de retragere."
"Withdrawal Confirmation for Order #%order_increment_id","Confirmare retragere pentru comanda #%order_increment_id"
"New Withdrawal Request for Order #%order_increment_id","Nouă cerere de retragere pentru comanda #%order_increment_id"
"Dear %customer_name,","Stimate/Stimată %customer_name,"
"We have received your withdrawal request for Order #%order_increment_id.","Am primit cererea dumneavoastră de retragere pentru comanda #%order_increment_id."
"Your withdrawal request has been registered successfully.","Cererea dumneavoastră de retragere a fost înregistrată cu succes."
"Order Number:","Număr comandă:"
"Order Date:","Data comenzii:"
"Withdrawal Requested:","Retragere solicitată:"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","Magazinul va procesa cererea dumneavoastră de retragere și vă va contacta cu privire la pașii următori (ex. returnare, rambursare)."
"If you have any questions, please contact us.","Dacă aveți întrebări, vă rugăm să ne contactați."
"A new withdrawal request has been submitted.","O nouă cerere de retragere a fost trimisă."
"Customer Name:","Numele clientului:"
"Customer Email:","E-mail client:"
"Please review this withdrawal request and take the necessary steps.","Vă rugăm să analizați această cerere de retragere și să luați măsurile necesare."
"Allowed Order Statuses","Statusuri de comandă permise"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","Retragerea este posibilă doar pentru comenzi cu unul din aceste statusuri. Implicit: în așteptare, în procesare, finalizat."
"Withdrawal is only possible for orders with one of these statuses.","Retragerea este posibilă doar pentru comenzi cu unul din aceste statusuri."
"All items of this order have already been withdrawn.","Toate articolele acestei comenzi au fost deja retrase."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","Unele articole ale acestei comenzi au fost deja retrase. Articolele marcate mai jos nu mai sunt disponibile pentru retragere."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Selectați articolele pe care doriți să le retrageți. Puteți retrage articole individuale (retragere parțială) sau toate articolele simultan."
"Select Items to Withdraw","Selectați articole pentru retragere"
"Select All","Selectați tot"
"Qty Ordered","Cantitate comandată"
"Qty to Withdraw","Cantitate de retras"
"Withdrawn","Retras"
"Please select at least one item to withdraw.","Selectați cel puțin un articol pentru retragere."
"Invalid item selection.","Selecție de articol nevalidă."
"One or more of the selected items have already been withdrawn and cannot be withdrawn again.","Unul sau mai multe dintre articolele selectate au fost deja retrase și nu mai pot fi retrase din nou."
"Partial withdrawal is not enabled. Please withdraw the entire order.","Retragerea parțială nu este activată. Retrageți întreaga comandă."
"Partial withdrawal requested by customer on %1. Items: %2","Retragere parțială solicitată de client la data de %1. Articole: %2"
"partial withdrawal","retragere parțială"
"Allow Partial Withdrawal","Permiteți retragerea parțială"
"Allow customers to withdraw individual items instead of the entire order.","Permite clienților să retragă articole individuale în loc de întreaga comandă."
"Default: No.","Implicit: Nu."
"Type","Tip"
"Full","Complet"
"Partial","Parțial"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","Am primit %withdrawal_type_label pentru comanda #%order_increment_id."
"A new %withdrawal_type_label has been submitted.","A fost trimis un nou %withdrawal_type_label."
"Withdrawn Items:","Articole retrase:"
"View Details","Vizualizați detaliile"
"Back to Withdrawal Requests","Înapoi la cererile de retragere"
"Withdrawal Request #%1","Cerere de retragere nr. %1"
"Withdrawn Items (Partial Withdrawal)","Articole retrase (retragere parțială)"
"Withdrawn Items (Full Withdrawal)","Articole retrase (retragere completă)"
"No item details recorded for this withdrawal request.","Nu au fost înregistrate detalii despre articole pentru această cerere de retragere."
"Qty Withdrawn","Cantitate retrasă"
"Confirm this withdrawal request?","Confirmați această cerere de retragere?"
"Reject this withdrawal request?","Respingeți această cerere de retragere?"
"Withdrawal Submitted Successfully","Retragere trimisă cu succes"
"withdrawal","retragere"
"Withdrawal request confirmed by the shop on %1.","Cererea de retragere a fost confirmată de magazin la %1."
"Withdrawal request rejected by the shop on %1.","Cererea de retragere a fost respinsă de magazin la %1."
"View Shipment #%1","Vezi expedierea #%1"
"Print Packing Slip #%1","Tipărește avizul de însoțire #%1"
