"Withdrawal Settings","Elállási beállítások"
"Email address to receive withdrawal notifications. If empty, the general store email will be used.","E-mail-cím az elállási értesítések fogadásához. Ha üres, az üzlet általános e-mail-címe lesz használva."
"Number of days after order placement during which withdrawal is allowed. Default: 14 days.","Az utolsó részszállítás feladása utáni napok száma, amelyek alatt az elállás megengedett. Alapértelmezett: 14 nap."
"This order has not been shipped yet. You may withdraw at any time until you receive the goods.","Ezt a rendelést még nem szállították ki. Az áru kézhezvételéig bármikor elállhat."
"Email template sent to the customer after withdrawal request.","Az elállási kérelem után az ügyfélnek küldött e-mail sablon."
"Email template sent to the shop owner after withdrawal request.","Az elállási kérelem után az üzlet tulajdonosának küldött e-mail sablon."
"Withdrawal Confirmation for Order #%order_increment_id","Elállás visszaigazolása a #%order_increment_id rendeléshez"
"New Withdrawal Request for Order #%order_increment_id","Új elállási kérelem a #%order_increment_id rendeléshez"
"Dear %customer_name,","Tisztelt %customer_name!"
"We have received your withdrawal request for Order #%order_increment_id.","Megkaptuk elállási kérelmét a #%order_increment_id rendeléshez."
"Your withdrawal request has been registered successfully.","Elállási kérelme sikeresen regisztrálva."
"Order Number:","Rendelésszám:"
"Order Date:","Rendelés dátuma:"
"Withdrawal Requested:","Elállás kérve:"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","Az üzlet feldolgozza elállási kérelmét és felveszi Önnel a kapcsolatot a következő lépésekről (pl. visszaküldés, visszatérítés)."
"If you have any questions, please contact us.","Ha kérdése van, kérjük, vegye fel velünk a kapcsolatot."
"A new withdrawal request has been submitted.","Új elállási kérelem érkezett."
"Customer Name:","Ügyfél neve:"
"Customer Email:","Ügyfél e-mailje:"
"Please review this withdrawal request and take the necessary steps.","Kérjük, vizsgálja felül ezt az elállási kérelmet és tegye meg a szükséges lépéseket."
"Allowed Order Statuses","Engedélyezett rendelési állapotok"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","Az elállás csak az ezen állapotok egyikével rendelkező rendelések esetén lehetséges. Alapértelmezett: függőben, feldolgozás alatt, kész."
"Withdrawal is only possible for orders with one of these statuses.","Az elállás csak az ezen állapotok egyikével rendelkező rendelések esetén lehetséges."
"All items of this order have already been withdrawn.","A rendelés összes tétele már vissza lett vonva."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","A rendelés egyes tételei már vissza lettek vonva. Az alább megjelölt tételek már nem állnak rendelkezésre visszavonásra."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Válassza ki a visszavonni kívánt tételeket. Visszavonhat egyes tételeket (részleges visszavonás) vagy az összes tételt egyszerre."
"Select Items to Withdraw","Tételek kiválasztása visszavonáshoz"
"Select All","Összes kijelölése"
"Qty Ordered","Rendelt mennyiség"
"Qty to Withdraw","Visszavonandó mennyiség"
"Withdrawn","Visszavonva"
"Please select at least one item to withdraw.","Kérjük, válasszon ki legalább egy tételt a visszavonáshoz."
"Invalid item selection.","Érvénytelen tételkijelölés."
"One or more of the selected items have already been withdrawn and cannot be withdrawn again.","Egy vagy több kijelölt tétel már visszavonásra került, és nem vonható vissza ismét."
"Partial withdrawal is not enabled. Please withdraw the entire order.","A részleges visszavonás nincs engedélyezve. Vonja vissza az egész rendelést."
"Partial withdrawal requested by customer on %1. Items: %2","Részleges visszavonás kérve az ügyfél által, %1-én. Tételek: %2"
"partial withdrawal","részleges visszavonás"
"Allow Partial Withdrawal","Részleges visszavonás engedélyezése"
"Allow customers to withdraw individual items instead of the entire order.","Lehetővé teszi az ügyfeleknek, hogy egyes tételeket vonjanak vissza a teljes rendelés helyett."
"Default: No.","Alapértelmezett: Nem."
"Type","Típus"
"Full","Teljes"
"Partial","Részleges"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","Megkaptuk az Ön %withdrawal_type_label-jét a(z) #%order_increment_id rendeléshez."
"A new %withdrawal_type_label has been submitted.","Új %withdrawal_type_label érkezett."
"Withdrawn Items:","Visszavont tételek:"
"View Details","Részletek megtekintése"
"Back to Withdrawal Requests","Vissza a visszavonási kérelmekhez"
"Withdrawal Request #%1","Visszavonási kérelem #%1"
"Withdrawn Items (Partial Withdrawal)","Visszavont tételek (részleges visszavonás)"
"Withdrawn Items (Full Withdrawal)","Visszavont tételek (teljes visszavonás)"
"No item details recorded for this withdrawal request.","Ehhez a visszavonási kérelemhez nem rögzítettünk tételrészleteket."
"Qty Withdrawn","Visszavont mennyiség"
"Confirm this withdrawal request?","Megerősíti ezt a visszavonási kérelmet?"
"Reject this withdrawal request?","Elutasítja ezt a visszavonási kérelmet?"
"Withdrawal Submitted Successfully","Elállás sikeresen benyújtva"
"withdrawal","visszavonás"
"Withdrawal request confirmed by the shop on %1.","Az elállási kérelmet a bolt megerősítette ekkor: %1."
"Withdrawal request rejected by the shop on %1.","Az elállási kérelmet a bolt elutasította ekkor: %1."
"View Shipment #%1","Szállítmány megtekintése #%1"
"Print Packing Slip #%1","Szállítólevél nyomtatása #%1"
