"Withdrawal Settings","Settings tal-irtirar"
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for this order.","Billi tibgħat l-irtirar, tiddikjara li tixtieq tirrevoka l-kuntratt tax-xiri għal din l-ordni."
"A withdrawal request has already been submitted for this order.","Talba ta' irtirar diġà ġiet mibgħuta għal din l-ordni."
"The withdrawal period for this order has expired. The deadline was: %1","Il-perjodu ta' irtirar għal din l-ordni skada. L-iskadenza kienet: %1"
"Back","Lura"
"Confirm Withdrawal","Ikkonferma l-irtirar"
"Are you sure you want to submit the withdrawal for this order? This action cannot be undone.","Ċert li trid tibgħat l-irtirar għal din l-ordni? Din l-azzjoni ma tistax tiġi rrevokata."
"Cancel","Ikkanċella"
"Yes, Submit Withdrawal","Iva, ibgħat l-irtirar"
"The order could not be found.","L-ordni ma setgħetx tinstab."
"Invalid form key. Please try again.","Ċavetta tal-formola invalida. Jekk jogħġbok erġa' pprova."
"The withdrawal function is currently not available.","Il-funzjoni ta' irtirar mhijiex disponibbli bħalissa."
"No order specified.","L-ebda ordni ma ġiet speċifikata."
"Please log in to submit a withdrawal.","Jekk jogħġbok idħol biex tibgħat irtirar."
"You are not authorized to withdraw this order.","M'intix awtorizzat biex tirtira din l-ordni."
"You are not authorized to view this order.","M'intix awtorizzat biex tara din l-ordni."
"The provided email does not match the order.","L-email mogħtija ma taqbilx mal-ordni."
"A withdrawal request already exists for this order.","Diġà teżisti talba ta' irtirar għal din l-ordni."
"The withdrawal period for this order has expired.","Il-perjodu ta' irtirar għal din l-ordni skada."
"Your withdrawal request was submitted.","It-talba tiegħek ta' irtirar ġiet mibgħuta."
"Unable to submit withdrawal request. Please try again.","Ma setgħetx tiġi mibgħuta t-talba ta' irtirar. Jekk jogħġbok erġa' pprova."
"Withdrawal requested by customer on %1.","Irtirar mitlub mill-klijent fit-%1."
"Please enter both order number and email address.","Jekk jogħġbok daħħal kemm in-numru tal-ordni kif ukoll l-indirizz tal-email."
"No order found with the given order number and email address.","L-ebda ordni ma nstabet bin-numru u l-indirizz tal-email mogħtija."
"Invalid request.","Talba invalida."
"Order #","Ordni #"
"Customer Name","Isem il-klijent"
"Customer Email","Email tal-klijent"
"Status","Status"
"Pending","Pendenti"
"Confirmed","Ikkonfermata"
"Rejected","Miċħuda"
"Order Placed At","Ordni saret"
"Withdrawal Requested At","Irtirar mitlub"
"Comment","Kumment"
"View Order","Ara l-ordni"
"ID","ID"
"e.g. 000000001","pereż. 000000001"
"your@email.com","tiegħek@email.mt"
"Enable or disable the withdrawal button functionality.","Attiva jew iddiżattiva l-funzjonalità tal-buttuna ta' irtirar."
"Email address to receive withdrawal notifications. If empty, the general store email will be used.","Indirizz tal-email biex tirċievi notifiki ta' irtirar. Jekk vojt, jintuża l-email ġenerali tal-ħanut."
"Number of days after order placement during which withdrawal is allowed. Default: 14 days.","Numru ta' ijiem wara li tintbagħat l-aħħar kunsinna parzjali li fihom huwa permess l-irtirar. Default: 14-il ġurnata."
"This order has not been shipped yet. You may withdraw at any time until you receive the goods.","Din l-ordni għadha ma ntbagħtitx. Tista' tirtira fi kwalunkwe ħin sakemm tirċievi l-oġġetti."
"Email template sent to the customer after withdrawal request.","Template tal-email mibgħuta lill-klijent wara t-talba ta' irtirar."
"Email template sent to the shop owner after withdrawal request.","Template tal-email mibgħuta lis-sid tal-ħanut wara t-talba ta' irtirar."
"Withdrawal Confirmation for Order #%order_increment_id","Konferma ta' irtirar għall-ordni #%order_increment_id"
"New Withdrawal Request for Order #%order_increment_id","Talba ġdida ta' irtirar għall-ordni #%order_increment_id"
"Dear %customer_name,","Għażiż/a %customer_name,"
"We have received your withdrawal request for Order #%order_increment_id.","Irċivejna t-talba tiegħek ta' irtirar għall-ordni #%order_increment_id."
"Your withdrawal request has been registered successfully.","It-talba tiegħek ta' irtirar ġiet irreġistrata b'suċċess."
"Order Number:","Numru tal-ordni:"
"Order Date:","Data tal-ordni:"
"Withdrawal Requested:","Irtirar mitlub:"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","Il-ħanut se jipproċessa t-talba tiegħek ta' irtirar u jikkuntattjak rigward il-passi li jmiss (pereż. ritorn, rimborż)."
"If you have any questions, please contact us.","Jekk għandek mistoqsijiet, jekk jogħġbok ikkuntattjana."
"A new withdrawal request has been submitted.","Ġiet mibgħuta talba ġdida ta' irtirar."
"Customer Name:","Isem il-klijent:"
"Customer Email:","Email tal-klijent:"
"Please review this withdrawal request and take the necessary steps.","Jekk jogħġbok irrevedi din it-talba ta' irtirar u ieħu l-passi meħtieġa."
"Allowed Order Statuses","Stati tal-ordni permessi"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","L-irtirar huwa possibbli biss għal ordnijiet b'wieħed minn dawn l-istati. Default: pendenti, qed jiġi pproċessat, lest."
"Withdrawal is only possible for orders with one of these statuses.","L-irtirar huwa possibbli biss għal ordnijiet b'wieħed minn dawn l-istati."
"All items of this order have already been withdrawn.","L-oġġetti kollha ta' din l-ordni diġà ġew irtiati."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","Xi oġġetti ta' din l-ordni diġà ġew irtiati. L-oġġetti mmarkati hawn taħt m'humiex aktar disponibbli għall-irtirar."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Agħżel l-oġġetti li trid tirtira. Tista' tirtira oġġetti individwali (irtirar parzjali) jew l-oġġetti kollha fl-istess ħin."
"Select Items to Withdraw","Agħżel Oġġetti għall-Irtirar"
"Select All","Agħżel Kollox"
"Qty Ordered","Kwantità Ordnata"
"Qty to Withdraw","Kwantità għall-Irtirar"
"Withdrawn","Irtira"
"Please select at least one item to withdraw.","Agħżel tal-inqas oġġett wieħed għall-irtirar."
"Invalid item selection.","Għażla ta' oġġett mhux valida."
"One or more of the selected items have already been withdrawn and cannot be withdrawn again.","Oġġett wieħed jew aktar mill-oġġetti magħżula diġà ġew irtirati u ma jistgħux jiġu rtirati mill-ġdid."
"Partial withdrawal is not enabled. Please withdraw the entire order.","L-irtirar parzjali mhux attivat. Irtira l-ordni kollha."
"Partial withdrawal requested by customer on %1. Items: %2","Irtirar parzjali mitlub mill-klijent fid-%1. Oġġetti: %2"
"partial withdrawal","irtirar parzjali"
"Allow Partial Withdrawal","Permetti Irtirar Parzjali"
"Allow customers to withdraw individual items instead of the entire order.","Jippermettu lill-klijenti jirtiraw oġġetti individwali minflok l-ordni kollha."
"Default: No.","Awtomatiku: Le."
"Type","Tip"
"Full","Sħiħ"
"Partial","Parzjali"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","Irċevejna l-%withdrawal_type_label tiegħek għall-ordni #%order_increment_id."
"A new %withdrawal_type_label has been submitted.","Ġie ppreżentat %withdrawal_type_label ġdid."
"Withdrawn Items:","Oġġetti Irtiati:"
"View Details","Ara d-dettalji"
"Back to Withdrawal Requests","Lura għall-talbiet ta' irtirar"
"Withdrawal Request #%1","Talba ta' irtirar #%1"
"Withdrawn Items (Partial Withdrawal)","Oġġetti irtiati (irtirar parzjali)"
"Withdrawn Items (Full Withdrawal)","Oġġetti irtiati (irtirar sħiħ)"
"No item details recorded for this withdrawal request.","L-ebda dettalji ta' oġġetti ma ġew irreġistrati għal din it-talba ta' irtirar."
"Qty Withdrawn","Kwantità Irtiata"
"Confirm this withdrawal request?","Tikkonferma din it-talba ta' irtirar?"
"Reject this withdrawal request?","Tiċħad din it-talba ta' irtirar?"
"Withdrawal Submitted Successfully","L-irtirar intbagħat b'suċċess"
"withdrawal","irtirar"
"Withdrawal request confirmed by the shop on %1.","It-talba għall-irtirar ġiet ikkonfermata mill-ħanut fil-%1."
"Withdrawal request rejected by the shop on %1.","It-talba għall-irtirar ġiet miċħuda mill-ħanut fil-%1."
"View Shipment #%1","Ara l-konsenja #%1"
"Print Packing Slip #%1","Ipprintja l-iskeda tal-ippakkjar #%1"
