"Withdrawal Settings","Definições de retratação"
"The withdrawal function is currently not available.","A função de retratação não está atualmente disponível."
"No order specified.","Nenhuma encomenda especificada."
"Please log in to submit a withdrawal.","Por favor, inicie sessão para enviar uma retratação."
"You are not authorized to withdraw this order.","Não está autorizado a retratar esta encomenda."
"You are not authorized to view this order.","Não está autorizado a visualizar esta encomenda."
"The provided email does not match the order.","O e-mail fornecido não corresponde à encomenda."
"A withdrawal request already exists for this order.","Já existe um pedido de retratação para esta encomenda."
"The withdrawal period for this order has expired.","O prazo de retratação para esta encomenda expirou."
"Your withdrawal request was submitted.","O seu pedido de retratação foi enviado."
"Unable to submit withdrawal request. Please try again.","Não foi possível enviar o pedido de retratação. Por favor, tente novamente."
"Withdrawal requested by customer on %1.","Retratação solicitada pelo cliente em %1."
"Please enter both order number and email address.","Introduza o número da encomenda e o endereço de e-mail."
"No order found with the given order number and email address.","Nenhuma encomenda encontrada com o número e endereço de e-mail indicados."
"Invalid request.","Pedido inválido."
"Order #","Encomenda n.º"
"Customer Name","Nome do cliente"
"Customer Email","E-mail do cliente"
"Status","Estado"
"Pending","Pendente"
"Confirmed","Confirmado"
"Rejected","Rejeitado"
"Order Placed At","Encomenda efetuada em"
"Withdrawal Requested At","Retratação solicitada em"
"Comment","Comentário"
"View Order","Ver encomenda"
"ID","ID"
"e.g. 000000001","p.ex. 000000001"
"your@email.com","seu@email.com"
"Enable or disable the withdrawal button functionality.","Ativar ou desativar a funcionalidade do botão de retratação."
"Email address to receive withdrawal notifications. If empty, the general store email will be used.","Endereço de e-mail para receber notificações de retratação. Se vazio, será utilizado o e-mail geral da loja."
"Number of days after order placement during which withdrawal is allowed. Default: 14 days.","Número de dias após o último envio parcial durante os quais a retratação é permitida. Predefinição: 14 dias."
"This order has not been shipped yet. You may withdraw at any time until you receive the goods.","Esta encomenda ainda não foi enviada. Pode retratar-se a qualquer momento até receber os produtos."
"Email template sent to the customer after withdrawal request.","Modelo de e-mail enviado ao cliente após o pedido de retratação."
"Email template sent to the shop owner after withdrawal request.","Modelo de e-mail enviado ao proprietário da loja após o pedido de retratação."
"Withdrawal Confirmation for Order #%order_increment_id","Confirmação de retratação para a encomenda #%order_increment_id"
"New Withdrawal Request for Order #%order_increment_id","Novo pedido de retratação para a encomenda #%order_increment_id"
"Dear %customer_name,","Caro/a %customer_name,"
"We have received your withdrawal request for Order #%order_increment_id.","Recebemos o seu pedido de retratação para a encomenda #%order_increment_id."
"Your withdrawal request has been registered successfully.","O seu pedido de retratação foi registado com sucesso."
"Order Number:","Número da encomenda:"
"Order Date:","Data da encomenda:"
"Withdrawal Requested:","Retratação solicitada:"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","A loja processará o seu pedido de retratação e entrará em contacto consigo sobre os próximos passos (p.ex. devolução, reembolso)."
"If you have any questions, please contact us.","Se tiver alguma questão, não hesite em contactar-nos."
"A new withdrawal request has been submitted.","Um novo pedido de retratação foi enviado."
"Customer Name:","Nome do cliente:"
"Customer Email:","E-mail do cliente:"
"Please review this withdrawal request and take the necessary steps.","Por favor, analise este pedido de retratação e tome as medidas necessárias."
"Allowed Order Statuses","Estados de encomenda permitidos"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","A retratação só é possível para encomendas com um destes estados. Predefinição: pendente, a processar, concluída."
"Withdrawal is only possible for orders with one of these statuses.","A retratação só é possível para encomendas com um destes estados."
"All items of this order have already been withdrawn.","Todos os artigos desta encomenda já foram revogados."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","Alguns artigos desta encomenda já foram revogados. Os artigos marcados abaixo já não estão disponíveis para revogação."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Selecione os artigos que pretende revogar. Pode revogar artigos individuais (revogação parcial) ou todos os artigos de uma vez."
"Select Items to Withdraw","Selecionar artigos para revogar"
"Select All","Selecionar tudo"
"Qty Ordered","Quantidade encomendada"
"Qty to Withdraw","Quantidade a revogar"
"Withdrawn","Revogado"
"Please select at least one item to withdraw.","Selecione pelo menos um artigo para revogar."
"Invalid item selection.","Seleção de artigo inválida."
"One or more of the selected items have already been withdrawn and cannot be withdrawn again.","Um ou mais dos artigos selecionados já foram revogados e não podem ser revogados novamente."
"Partial withdrawal is not enabled. Please withdraw the entire order.","A revogação parcial não está ativada. Revogue a encomenda completa."
"Partial withdrawal requested by customer on %1. Items: %2","Revogação parcial solicitada pelo cliente em %1. Artigos: %2"
"partial withdrawal","revogação parcial"
"Allow Partial Withdrawal","Permitir revogação parcial"
"Allow customers to withdraw individual items instead of the entire order.","Permite que os clientes revoguem artigos individuais em vez de toda a encomenda."
"Default: No.","Predefinição: Não."
"Type","Tipo"
"Full","Completo"
"Partial","Parcial"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","Recebemos a sua %withdrawal_type_label para a encomenda #%order_increment_id."
"A new %withdrawal_type_label has been submitted.","Foi submetida uma nova %withdrawal_type_label."
"Withdrawn Items:","Artigos revogados:"
"View Details","Ver detalhes"
"Back to Withdrawal Requests","Voltar aos pedidos de revogação"
"Withdrawal Request #%1","Pedido de revogação n.º %1"
"Withdrawn Items (Partial Withdrawal)","Artigos revogados (revogação parcial)"
"Withdrawn Items (Full Withdrawal)","Artigos revogados (revogação completa)"
"No item details recorded for this withdrawal request.","Não foram registados detalhes de artigos para este pedido de revogação."
"Qty Withdrawn","Quantidade revogada"
"Confirm this withdrawal request?","Confirmar este pedido de revogação?"
"Reject this withdrawal request?","Rejeitar este pedido de revogação?"
"Withdrawal Submitted Successfully","Retratação enviada com sucesso"
"withdrawal","revogação"
"Withdrawal request confirmed by the shop on %1.","O pedido de retratação foi confirmado pela loja em %1."
"Withdrawal request rejected by the shop on %1.","O pedido de retratação foi rejeitado pela loja em %1."
"View Shipment #%1","Ver envio #%1"
"Print Packing Slip #%1","Imprimir guia de remessa #%1"
