"Withdrawal Settings","Nastavení odstoupení od smlouvy"
"We have received your withdrawal request for Order #%order_increment_id.","Obdrželi jsme vaši žádost o odstoupení od objednávky #%order_increment_id."
"Your withdrawal request has been registered successfully.","Vaše žádost o odstoupení byla úspěšně zaregistrována."
"Order Number:","Číslo objednávky:"
"Order Date:","Datum objednávky:"
"Withdrawal Requested:","Odstoupení požadováno:"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","Obchod zpracuje vaši žádost o odstoupení a kontaktuje vás ohledně dalších kroků (např. vrácení zboží, refundace)."
"If you have any questions, please contact us.","V případě dotazů nás prosím kontaktujte."
"A new withdrawal request has been submitted.","Byla podána nová žádost o odstoupení."
"Customer Name:","Jméno zákazníka:"
"Customer Email:","E-mail zákazníka:"
"Please review this withdrawal request and take the necessary steps.","Prosím zkontrolujte tuto žádost o odstoupení a proveďte potřebné kroky."
"Allowed Order Statuses","Povolené stavy objednávky"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","Odstoupení je možné pouze pro objednávky s jedním z těchto stavů. Výchozí: čeká, zpracovává se, dokončeno."
"Withdrawal is only possible for orders with one of these statuses.","Odstoupení je možné pouze pro objednávky s jedním z těchto stavů."
"All items of this order have already been withdrawn.","Všechny položky této objednávky již byly odvolány."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","Některé položky této objednávky již byly odvolány. Níže označené položky již nejsou dostupné pro odvolání."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Vyberte položky, které chcete odvolat. Můžete odvolat jednotlivé položky (částečné odvolání) nebo všechny položky najednou."
"Select Items to Withdraw","Vybrat položky k odvolání"
"Select All","Vybrat vše"
"Qty Ordered","Objednané množství"
"Qty to Withdraw","Množství k odvolání"
"Withdrawn","Odvoláno"
"Please select at least one item to withdraw.","Vyberte alespoň jednu položku k odvolání."
"Invalid item selection.","Neplatný výběr položky."
"One or more of the selected items have already been withdrawn and cannot be withdrawn again.","Jedna nebo více vybraných položek již byla odvolána a nelze ji odvolat znovu."
"Partial withdrawal is not enabled. Please withdraw the entire order.","Částečné odvolání není povoleno. Odvolejte celou objednávku."
"Partial withdrawal requested by customer on %1. Items: %2","Částečné odvolání požadované zákazníkem dne %1. Položky: %2"
"partial withdrawal","částečné odvolání"
"Allow Partial Withdrawal","Povolit částečné odvolání"
"Allow customers to withdraw individual items instead of the entire order.","Umožňuje zákazníkům odvolat jednotlivé položky místo celé objednávky."
"Default: No.","Výchozí: Ne."
"Type","Typ"
"Full","Plné"
"Partial","Částečné"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","Obdrželi jsme vaše %withdrawal_type_label pro objednávku #%order_increment_id."
"A new %withdrawal_type_label has been submitted.","Bylo podáno nové %withdrawal_type_label."
"Withdrawn Items:","Odvolané položky:"
"View Details","Zobrazit detaily"
"Back to Withdrawal Requests","Zpět na žádosti o odvolání"
"Withdrawal Request #%1","Žádost o odvolání č. %1"
"Withdrawn Items (Partial Withdrawal)","Odvolané položky (částečné odvolání)"
"Withdrawn Items (Full Withdrawal)","Odvolané položky (plné odvolání)"
"No item details recorded for this withdrawal request.","Pro tuto žádost o odvolání nejsou zaznamenány žádné detaily položek."
"Qty Withdrawn","Odvolané množství"
"Confirm this withdrawal request?","Potvrdit tuto žádost o odvolání?"
"Reject this withdrawal request?","Zamítnout tuto žádost o odvolání?"
"Withdrawal Submitted Successfully","Odstoupení úspěšně podáno"
"withdrawal","odvolání"
"Withdrawal request confirmed by the shop on %1.","Žádost o odstoupení byla obchodem potvrzena dne %1."
"Withdrawal request rejected by the shop on %1.","Žádost o odstoupení byla obchodem zamítnuta dne %1."
"View Shipment #%1","Zobrazit zásilku #%1"
"Print Packing Slip #%1","Tisk dodacího listu #%1"
