"Withdrawal Settings","Ρυθμίσεις υπαναχώρησης"
"New Withdrawal Request for Order #%order_increment_id","Νέο αίτημα υπαναχώρησης για παραγγελία #%order_increment_id"
"Dear %customer_name,","Αγαπητέ/ή %customer_name,"
"We have received your withdrawal request for Order #%order_increment_id.","Λάβαμε το αίτημά σας υπαναχώρησης για την παραγγελία #%order_increment_id."
"Your withdrawal request has been registered successfully.","Το αίτημά σας υπαναχώρησης καταχωρήθηκε επιτυχώς."
"Order Number:","Αριθμός παραγγελίας:"
"Order Date:","Ημερομηνία παραγγελίας:"
"Withdrawal Requested:","Υπαναχώρηση ζητήθηκε:"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","Το κατάστημα θα επεξεργαστεί το αίτημά σας και θα επικοινωνήσει μαζί σας για τα επόμενα βήματα (π.χ. επιστροφή, επιστροφή χρημάτων)."
"If you have any questions, please contact us.","Αν έχετε ερωτήσεις, παρακαλώ επικοινωνήστε μαζί μας."
"A new withdrawal request has been submitted.","Υποβλήθηκε νέο αίτημα υπαναχώρησης."
"Customer Name:","Όνομα πελάτη:"
"Customer Email:","Email πελάτη:"
"Please review this withdrawal request and take the necessary steps.","Παρακαλώ ελέγξτε αυτό το αίτημα υπαναχώρησης και λάβετε τα απαραίτητα μέτρα."
"Allowed Order Statuses","Επιτρεπόμενες καταστάσεις παραγγελίας"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","Η υπαναχώρηση είναι δυνατή μόνο για παραγγελίες με μία από αυτές τις καταστάσεις. Προεπιλογή: εκκρεμεί, σε επεξεργασία, ολοκληρώθηκε."
"Withdrawal is only possible for orders with one of these statuses.","Η υπαναχώρηση είναι δυνατή μόνο για παραγγελίες με μία από αυτές τις καταστάσεις."
"All items of this order have already been withdrawn.","Όλα τα είδη αυτής της παραγγελίας έχουν ήδη ανακληθεί."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","Ορισμένα είδη αυτής της παραγγελίας έχουν ήδη ανακληθεί. Τα παρακάτω επισημασμένα είδη δεν είναι πλέον διαθέσιμα για ανάκληση."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Επιλέξτε τα είδη που θέλετε να ανακαλέσετε. Μπορείτε να ανακαλέσετε μεμονωμένα είδη (μερική ανάκληση) ή όλα τα είδη ταυτόχρονα."
"Select Items to Withdraw","Επιλογή ειδών για ανάκληση"
"Select All","Επιλογή όλων"
"Qty Ordered","Παραγγελθείσα ποσότητα"
"Qty to Withdraw","Ποσότητα προς ανάκληση"
"Withdrawn","Ανακλήθηκε"
"Please select at least one item to withdraw.","Επιλέξτε τουλάχιστον ένα είδος για ανάκληση."
"Invalid item selection.","Μη έγκυρη επιλογή είδους."
"One or more of the selected items have already been withdrawn and cannot be withdrawn again.","Ένα ή περισσότερα από τα επιλεγμένα είδη έχουν ήδη ανακληθεί και δεν μπορούν να ανακληθούν ξανά."
"Partial withdrawal is not enabled. Please withdraw the entire order.","Η μερική ανάκληση δεν είναι ενεργοποιημένη. Ανακαλέστε ολόκληρη την παραγγελία."
"Partial withdrawal requested by customer on %1. Items: %2","Μερική ανάκληση που ζητήθηκε από πελάτη στις %1. Είδη: %2"
"partial withdrawal","μερική ανάκληση"
"Allow Partial Withdrawal","Επίτρεψη μερικής ανάκλησης"
"Allow customers to withdraw individual items instead of the entire order.","Επιτρέπει στους πελάτες να ανακαλούν μεμονωμένα είδη αντί για ολόκληρη την παραγγελία."
"Default: No.","Προεπιλογή: Όχι."
"Type","Τύπος"
"Full","Πλήρης"
"Partial","Μερική"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","Λάβαμε το %withdrawal_type_label σας για παραγγελία #%order_increment_id."
"A new %withdrawal_type_label has been submitted.","Υποβλήθηκε νέο %withdrawal_type_label."
"Withdrawn Items:","Ανακληθέντα είδη:"
"View Details","Προβολή λεπτομερειών"
"Back to Withdrawal Requests","Επιστροφή στα αιτήματα ανάκλησης"
"Withdrawal Request #%1","Αίτημα ανάκλησης #%1"
"Withdrawn Items (Partial Withdrawal)","Ανακληθέντα είδη (μερική ανάκληση)"
"Withdrawn Items (Full Withdrawal)","Ανακληθέντα είδη (πλήρης ανάκληση)"
"No item details recorded for this withdrawal request.","Δεν έχουν καταγραφεί λεπτομέρειες ειδών για αυτό το αίτημα ανάκλησης."
"Qty Withdrawn","Ποσότητα που ανακλήθηκε"
"Confirm this withdrawal request?","Επιβεβαίωση αυτού του αιτήματος ανάκλησης;"
"Reject this withdrawal request?","Απόρριψη αυτού του αιτήματος ανάκλησης;"
"Withdrawal Submitted Successfully","Η υπαναχώρηση υποβλήθηκε επιτυχώς"
"withdrawal","ανάκληση"
"Withdrawal request confirmed by the shop on %1.","Το αίτημα υπαναχώρησης επιβεβαιώθηκε από το κατάστημα στις %1."
"Withdrawal request rejected by the shop on %1.","Το αίτημα υπαναχώρησης απορρίφθηκε από το κατάστημα στις %1."
"View Shipment #%1","Προβολή αποστολής #%1"
"Print Packing Slip #%1","Εκτύπωση δελτίου αποστολής #%1"
